Hello Schrodinger World!
Proteins File Address = C:\\Nakul\\nakulshah\\700\\Sch\\proteins.txt
Drugs File Address = C:\\Nakul\\nakulshah\\700\\Sch\\drugs.txt
<<<<<<<<<Result Summary - START>>>>>>>>>>
2014-03-02 23:50:25.002
Total BA Score = 1587.5
2014-03-02 23:50:25.677
Computational Time Taken = 675 milli seconds
<<<<<<<<<Result Summary - END>>>>>>>>>>





Parings -- 
BAPair{protein=50S-ribosomal-protein-P1-(L12P), drug=Gardasil, baScore=12.5}
BAPair{protein=A3B3-complex, drug=Lipitor, baScore=6.0}
BAPair{protein=AaSPS, drug=Crestor, baScore=12.5}
BAPair{protein=adenosine-A2A-receptor, drug=Nexium, baScore=7.5}
BAPair{protein=afadin, drug=Yaz, baScore=2.5}
BAPair{protein=AfuAlaRS, drug=Advair, baScore=7.5}
BAPair{protein=AlaRS, drug=Fentanyl, baScore=15.0}
BAPair{protein=Ara7-AtVps9a-complex, drug=Actos, baScore=5.0}
BAPair{protein=aRF1, drug=Abilify, baScore=6.0}
BAPair{protein=ASBT, drug=Seroquel, baScore=10.0}
BAPair{protein=Atg16, drug=Zosyn, baScore=12.5}
BAPair{protein=Atg19, drug=Metoprolol, baScore=18.75}
BAPair{protein=Atg34, drug=Zyvox, baScore=12.5}
BAPair{protein=Atg7, drug=Epogen, baScore=7.5}
BAPair{protein=Atg7-Atg8-complex, drug=Aggrenox, baScore=12.5}
BAPair{protein=Atg8, drug=Aricept, baScore=6.0}
BAPair{protein=Atg8-Atg19(peptide)-complex, drug=Plavix, baScore=12.5}
BAPair{protein=Cbl-b, drug=Doryx, baScore=12.5}
BAPair{protein=CERT-START-domain, drug=Celebrex, baScore=12.5}
BAPair{protein=ChR, drug=Singulair, baScore=15.625}
BAPair{protein=Ci-VSP, drug=Cialis, baScore=7.5}
BAPair{protein=cyclodipeptide-synthase, drug=Nuvaring, baScore=12.5}
BAPair{protein=Cytochrome-c-oxidase, drug=Exelon, baScore=7.5}
BAPair{protein=Cytochrome-P450cam, drug=Lovenox, baScore=6.0}
BAPair{protein=Dihydrouridine-synthase, drug=Reclast, baScore=12.5}
